{{CraftNav|title=Armoursmithing}}


== Armorsmithing ==
 
https://github.com/Mithreas/CoW/blob/master/scripts/cnranvilarmor1.nss
https://github.com/Mithreas/CoW/blob/master/scripts/cnranvilarmorel.nss

===Shields===

====Ondaran Shields====
{| class="wikitable"
! style="text-alignleft;"| Name
! Ingredients
! Level
! Properties
! Race Requirement
|-
|Ondaran Buckler
|1
|1 Small Ondaran Plates <br>1 Wooden Buckler
|
|
|-
|Large Ondaran Shield
|2
|1 Medium Ondaran Plates <br>1 Wooden Large Shield
|
|
|-
|Ondaran Tower Shield
|3
|1 Large Ondaran Plates <br>1 Wooden Tower Shield
|
|
|}

====Iron Shields====
{| class="wikitable"
! style="text-alignleft;"| Name
! Ingredients
! Level
! Properties
! Race Requirement
|-
|Iron Buckler
|3
|1 Small Iron Plates <br>1 Wooden Buckler
|
|Humans, Hin
|-
|Large Iron Shield
|4
|1 Medium Iron Plates <br>1 Wooden Large Shield
|
|Humans, Hin
|-
|Iron Tower Shield
|5
|1 Large Iron Plates <br>1 Wooden Tower Shield
|
|Humans, Hin
|}

====Silver Shields====
{| class="wikitable"
! style="text-alignleft;"| Name
! Ingredients
! Level
! Properties
! Race Requirement
|-
|Silver Buckler
|5
|1 Small Silver Plates <br>1 Wooden Buckler
|
|
|-
|Large Silver Shield
|6
|1 Medium Silver Plates <br>1 Wooden Large Shield
|
|
|-
|Silver Tower Shield
|7
|1 Large Silver Plates <br>1 Wooden Tower Shield
|
|
|-
|}

====Steel Shields====
{| class="wikitable"
! style="text-alignleft;"| Name
! Ingredients
! Level
! Properties
! Race Requirement
|-
|Steel Buckler
|11
|1 Small Steel Plates <br>1 Wooden Buckler
|
|
|-
|Large Steel Shield
|12
|1 Medium Steel Plates <br>1 Wooden Large Shield
|
|
|-
|Steel Tower Shield
|14
|1 Large Steel Plates <br>1 Wooden Tower Shield
|
|
|-
|}

===Helmets===

{| class="wikitable"
! style="text-alignleft;"| Name
! Ingredients
! Level
! Properties
! Race Requirement
|-
|Ondaran Helmet
|2
|1 Ondaran Small Plates
|
|
|-
|Chitin Helmet
|4
|2 Small Chitin Plates
|
|
|-
|Iron Helmet
|4
|1 Small Iron Plates
|
|Humans, Hin
|-
|Silver Helmet
|6
|1 Small Silver Plates
|
|
|-
|Steel Helmet
|11
|1 Small Steel Plates
|
|
|}

===Armour===

====Ondaran Armour====

=====Medium Ondaran=====
{| class="wikitable"
! style="text-alignleft;"| Name
! Ingredients
! Level
! Item Properties
! Race Requirement
|-
|Ondaran Chain Shirt
|2
|2 Ondaran Chain Rings <br>2 Cloth Padding 
|
|
|-
|Ondaran Scale Mail
|2
|1 Ondaran Chain Rings <br> 1 Ondaran Small Plates <br>2 Cloth Padding 
|
|
|-
|Ondaran Chain Mail
|2
|2 Ondaran Chain Rings <br>2 Cloth Padding 
|
|
|}

=====Heavy Ondaran=====
{| class="wikitable"
! style="text-alignleft;"| Name
! Ingredients
! Level
! Item Properties
! Race Requirement
|-
|Ondaran Banded Mail
|3
|2 Ondaran Small Plates <br>2 Cloth Padding 
|
|
|-
|Ondaran Splint Mail
|3
