{{CraftNav|title=Tailoring}}

==Tailoring==

===Components===

====Cloth and Silks====

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Cloth
|
|Cotton
|
|
|-
|Spun Wool
|
|Skin of a Wooly Creature
|
|
|-
|Spun Silk
|
|Silk
|
|
|-
|}

====Small Hides====

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Cured Badger Hide
|
|Skin of a Badger <br> Tanning Acid
|
|
|-
|}

====Medium Hides====

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Cured Wolf Hide
|
|Skin of a Badger <br> Tanning Acid
|
|
|-
|}

====Large Hides====

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Cured Deer Hide
|
|Skin of a Deer<br> Tanning Acid
|
|
|-
|Cured Worg Hide
|
|Skin of a Worg<br> Tanning Acid
|
|
|-
|Cured Grizzly Hide
|
|Skin of a Grizzly Bear<br> Tanning Acid
|
|
|-
|Cured Dire BearHide
|6
|Skin of a Dire Bear<br> Tanning Acid
|
|
|-
|}

====Leathers====

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Badger Leather
|
|Skin of a Badger <br> Tanning Oil
|
|
|-
|Deer Leather
|
|Skin of a Deer<br> Tanning Oil
|
|
|-
|Wolf Leather
|
|Skin of a Wolf<br> Tanning Oil
|
|
|-
|Grizzly Leather
|
|Skin of a Grizzly Bear<br> Tanning Oil
|
|
|-
|Worg Leather
|
|Skin of a Worg<br> Tanning Oil
|
|
|-
|Dire Bear Leather
|7
|Skin of a Dire Bear<br> Tanning Oil
|
|
|-
|}

===Armour===

====Clothing====

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Clothes
|
|2 Cloth
|
|
|-
|Woolen Clothes
|
|2 Spun Wool
|
|
|-
|Silk Clothes
|
|2 Spun Silk
|
|
|-
|Cloth Gloves
|
|Cloth
|
|
|-
|Gloves (Wool)
|
|Spun Wool
|
|
|-
|Gloves (Silk)
|
|Spun Silk
|
|
|-
|Cotton Cloak
|
|Cloth
|
|
|-
|Wool Cloak
|
|Spun Wool
|
|
|-
|Silk Cloak
|
|Spun Silk
|
|
|-
|}

====Padded Armour====

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Padded Armour
|
|2 Cloth <br>Cloth Padding
|
|
|-
|Woollen Padded Armour
|
|2 Spun Wool <br>Cloth Padding
|
|
|-
|Silk Padded Armour
|
|2 Spun Silk <br>Cloth Padding
|
|
|-
|}

====Hide Armour====

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Badger Hide Armour
|
|3 Cured Badger Hide <br>Cloth Padding
|
|
|-
|Deer Hide Armour
|
|3 Cured Deer Hide <br>Cloth Padding
|
|
|-
|Wolf Hide Armour
|
|3 Cured Wolf Hide <br>Cloth Padding
|Slashing 5% Immunity Bonus
|
|-
|Grizzly Bear Hide Armour
|
|3 Cured Grizzly Bear Hide <br>Cloth Padding
|
|
|-
|Worg Hide Armour
|
|3 Cured Worg Hide <br>Cloth Padding
|12 Spell Resistance
|
|-
|Dire Bear Hide Armour
|7
|3 Cured Dire Bear Hide <br>Cloth Padding
|
|
|-
|Dragonhide Armour
|12
|3 Dragonhide <br>Cloth Padding
|
|
|-
|}

====Leather Armour====

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Badger Leather Armour
|
|3 Badger Leather <br>Cloth Padding
