{{CraftNav|title=Woodworking}}

==Woodworking==

===Timbers===

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|(Irl) Shafts
|
|Branch of Irl
|
|
|-
|(Ironwood) Shafts
|
|Branch of Ironwood
|
|
|-
|(Duskwood) Shafts
|
|Branch of Duskwood
|
|
|-
|Plank of Irl
|
|Branch of Irl
|
|
|-
|Plank of Ironwood
|
|Branch of Ironwood
|
|
|-
|Plank of Duskwood
|
|Branch of Duskwood
|
|
|-
|Short Stave of Irl
|
|Branch of Irl
|
|
|-
|Long Stave of Irl
|
|Branch of Irl
|
|
|-
|Short Stave of Ironwood
|
|Branch of Ironwood
|
|
|-
|Long Stave of Ironwood
|
|Branch of Ironwood
|
|
|-
|Short Stave of Duskwood
|5
|Branch of Duskwood
|
|
|-
|Long Stave of Duskwood
|5
|Branch of Duskwood
|
|
|-
|}

===Misc===

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Blank Scrolls
|
|Branch of Irl
|
|
|-
|Torch
|
|Short Stave of Irl <br>Rope
|
|
|-
|Bone Wand
|
|Short Stave of Irl <br>Skeleton's Knuckle
|
|
|-
|Compound Bow Cam
|
|Ingot of Iron
|
|
|-
|}

===Weapons===

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Wooden Club
|
|Short Stave of Irl
|
|
|-
|Ironwood Club
|
|Short Stave of Ironwood
|
|
|-
|Duskwood Club
|6
|Short Stave of Duskwood
|
|
|-
|Wooden Quarterstaff
|
|Long Stave of Irl
|
|
|-
|Ironwood Quarterstaff
|
|Long Stave of Ironwood
|
|
|-
|Duskwood Quarterstaff
|6
|Long Stave of Duskwood
|
|
|-
|Duskwood Mage's Staff
|7
|Long Stave of Duskwood <br>Polished Garnet <br>Gem Dust: Alexandrite <br>Gem Dust: Fluorspar
|
|
|-
|}

===Arrows===

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Ondaran Arrows
|
|Ingot of Ondaran <br>Shaft <br>Feathers
|
|
|-
|Iron Arrows
|
|Ingot of Iron<br>3 Shaft <br>5 Feathers
|
|
|-
|Silver Arrows
|2
|Ingot of Ondaran <br>3 Shaft <br>5 Feathers
|
|
|-
|}

===Bolts===

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Ondaran Bolts
|
|Ingot of Ondaran <br>Shaft <br>Feathers
|
|
|-
|Iron Bolts
|
|Ingot of Iron<br>3 Shaft <br>5 Feathers
|
|
|-
|Silver Bolts
|2
|Ingot of Ondaran <br>3 Shaft <br>4 Feathers
|
|
|-
|}

===Bows===

====Irl====
{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirement
|-
|Irl Short Bow
|
|Short Stave of Irl <br>Bow String
|
|
|-
|Irl Light Crossbow
|
|Plank of Irl <br>Bow String
|
|
|-
|Irl Long Bow
|
|Long Stave of Irl <br>Bow String
|
|
|-
|Irl Heavy Crossbow
|
|2 Plank of Irl <br>Bow String
|
|
|-
|}

====Ironwood====
{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Value
! Ingredients
! Properties
